film_id,"title","release_date",release_week,"runtime",budget,revenue,profit,animation,adventure,action,comedy,crime,drama,fantasy,family,history,horror,music,mystery,romance,science fiction,thriller,war,western,"genres",hit,num_bankable_actor
11091,"Riding in Cars with Boys","2001-10-19",41,"132.",48000000,35743308,-30128346.0000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,0
11092,"Presumed Innocent","1990-07-26",29,"127.",22000000,221303188,88651594.0000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",1,1
11093,"House of Sand and Fog","2003-12-19",50,"126.",16500000,16942795,-8028602.5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}]",0,0
11096,"Hide and Seek","2005-01-27",4,"101.",25000000,122644820,36322410.0000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",0,0
11113,"My Fair Lady","1964-10-21",42,"170.",17000000,72070731,19035365.5000,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",0,0
11123,"Earthquake","1974-11-15",45,"123.",7000000,79666653,32833326.5000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,0
11128,"Ladder 49","2004-10-01",39,"115.",60000000,74541707,-22729146.5000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",0,1
11129,"Human Traffic","1999-06-04",22,"99.0",600000,4000000,1400000.0000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",0,0
11130,"The Princess Diaries 2: Royal Engagement","2004-08-06",31,"113.",40000000,95149435,7574717.5000,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",0,0
11132,"Confessions of a Teenage Drama Queen","2004-02-17",7,"89.0",15000000,29331068,-334466.0000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}]",0,0
11133,"Poltergeist II: The Other Side","1986-05-23",20,"91.0",19000000,40996665,1498332.5000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",0,0
11134,"Police Story 3: Supercop","1992-07-04",26,"95.0",900000,20483423,9341711.5000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",0,0
11135,"The Rescuers Down Under","1990-11-16",45,"77.0",37931000,47431461,-14215269.5000,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",0,0
